Teff  logg FeH   profile        filter     wave_min wave_eff wave_max   c1    e1    c2    e2    c3     e3    c4    e4 
------ ---- --- ----------- --------------- -------- -------- -------- ----- ----- ----- ----- ------ ----- ----- -----
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.422   0.4294    0.437 0.625 0.004 0.167 0.005    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.438   0.4456    0.453 0.625 0.006 0.173 0.008    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.454   0.4614    0.469  0.58 0.008 0.202  0.01    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K     0.47   0.4775    0.485  0.53 0.009 0.235 0.012    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.486   0.4934    0.501 0.496 0.009 0.243 0.013    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.502   0.5093    0.517 0.501 0.009 0.231 0.012    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.518   0.5254    0.533 0.478 0.009  0.23 0.012    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.534   0.5415    0.549 0.449  0.01 0.249 0.014    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K     0.55   0.5576    0.565 0.431 0.011 0.255 0.014    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.566   0.5737    0.581 0.413 0.011  0.26 0.015    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.582   0.5894    0.597 0.394 0.011 0.269 0.015    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.598   0.6055    0.613 0.378 0.012  0.27 0.015    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.614   0.6216    0.629 0.366 0.011 0.268 0.015    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K     0.63   0.6377    0.645 0.351 0.012 0.273 0.016    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.646   0.6533    0.661 0.306 0.012 0.295 0.017    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.662   0.6694    0.677 0.326 0.012 0.276 0.016    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.678   0.6855    0.693 0.321 0.012 0.271 0.016    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.694   0.7017    0.709 0.313 0.012 0.269 0.016    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K     0.71   0.7173    0.725 0.302 0.012 0.268 0.015    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.726   0.7334    0.741 0.294 0.012 0.268 0.016    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.742   0.7495    0.757 0.284 0.012 0.268 0.016    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.758   0.7656    0.773 0.276 0.012 0.267 0.016    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.774   0.7817    0.789 0.268 0.012 0.266 0.016    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K     0.79   0.7974    0.805 0.261 0.012 0.268 0.016    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.806   0.8135    0.821 0.256 0.012 0.265 0.015    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.822   0.8296    0.837 0.249 0.012 0.264 0.015    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.838   0.8457    0.853 0.238 0.012 0.261 0.015    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K    0.854   0.8613    0.869  0.23 0.011 0.259 0.015    nan   nan   nan   nan
6250.0  4.0 0.5   quadratic Kepler/Kepler.K     0.87   0.8774    0.885 0.231 0.011 0.263 0.015    nan   nan   nan   nan
